epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,7494.85,1.26241,0.87932,1.11487,0.8339,0.8015,0.86519,0.52678,1.30706,0.76675,1.15286,0.000437504,0.000437504,0.000437504
151,7548.4,1.24456,0.88235,1.10669,0.86734,0.78925,0.86987,0.52611,1.30934,0.764,1.154,0.000429253,0.000429253,0.000429253
152,7601.07,1.27075,0.86898,1.11588,0.85447,0.80951,0.8697,0.53057,1.30097,0.75938,1.14933,0.000421001,0.000421001,0.000421001
153,7653.49,1.24185,0.87145,1.10958,0.85667,0.80329,0.86594,0.53121,1.29196,0.76206,1.14538,0.000412749,0.000412749,0.000412749
154,7705.9,1.26189,0.86125,1.11137,0.83353,0.81785,0.87069,0.53106,1.3131,0.75719,1.14601,0.000404498,0.000404498,0.000404498
155,7757.68,1.25648,0.86073,1.12422,0.83517,0.81512,0.87058,0.54181,1.28513,0.74363,1.14225,0.000396246,0.000396246,0.000396246
156,7809.9,1.23899,0.86921,1.11015,0.85166,0.8142,0.87372,0.53843,1.28238,0.76221,1.13668,0.000387994,0.000387994,0.000387994
157,7862.17,1.22614,0.85768,1.10837,0.85616,0.81302,0.87455,0.53709,1.29285,0.74517,1.13848,0.000379743,0.000379743,0.000379743
158,7914.27,1.24371,0.84235,1.10258,0.8436,0.80958,0.86832,0.53895,1.29083,0.74235,1.14276,0.000371491,0.000371491,0.000371491
159,7967.13,1.22567,0.84211,1.10126,0.83649,0.81669,0.86684,0.53858,1.28028,0.7442,1.13677,0.000363239,0.000363239,0.000363239
160,8019.04,1.25958,0.88503,1.10614,0.84167,0.81952,0.86731,0.53555,1.29516,0.74496,1.14209,0.000354988,0.000354988,0.000354988
161,8071.85,1.2253,0.84837,1.10707,0.82967,0.81556,0.86829,0.53933,1.29488,0.73829,1.14154,0.000346736,0.000346736,0.000346736
162,8158.73,1.23366,0.84974,1.10189,0.85724,0.81154,0.87137,0.53526,1.30041,0.74112,1.14421,0.000338484,0.000338484,0.000338484
163,11708,1.25119,0.86684,1.11354,0.84972,0.81254,0.8708,0.53573,1.29149,0.74619,1.1391,0.000330233,0.000330233,0.000330233
164,12011.2,1.23933,0.84013,1.09837,0.842,0.79413,0.86589,0.53116,1.30218,0.75058,1.14677,0.000321981,0.000321981,0.000321981
165,12064.9,1.25442,0.84449,1.12212,0.85413,0.79289,0.8708,0.53813,1.28668,0.74379,1.14196,0.000313729,0.000313729,0.000313729
166,12117.9,1.23512,0.83203,1.11531,0.85132,0.79644,0.871,0.53357,1.29717,0.75375,1.14463,0.000305478,0.000305478,0.000305478
167,12176.3,1.22994,0.83392,1.09841,0.85301,0.80114,0.87004,0.53213,1.29672,0.74476,1.14236,0.000297226,0.000297226,0.000297226
168,12228.8,1.2187,0.83832,1.10337,0.86959,0.78819,0.86925,0.53105,1.30427,0.74633,1.14316,0.000288974,0.000288974,0.000288974
169,12282.9,1.23036,0.85523,1.10159,0.85752,0.80656,0.8695,0.5341,1.29593,0.74688,1.13782,0.000280723,0.000280723,0.000280723
170,12335.5,1.23534,0.83933,1.10486,0.87107,0.8069,0.8757,0.54052,1.28653,0.73895,1.1346,0.000272471,0.000272471,0.000272471
171,12389.4,1.21302,0.8294,1.09457,0.85403,0.81502,0.87816,0.5398,1.27996,0.73247,1.13279,0.00026422,0.00026422,0.00026422
172,12441.5,1.21444,0.83613,1.10133,0.87456,0.80402,0.87398,0.53934,1.28441,0.73158,1.13681,0.000255968,0.000255968,0.000255968
173,12494.1,1.2087,0.80979,1.09502,0.89148,0.78023,0.87232,0.53969,1.28432,0.72997,1.13465,0.000247716,0.000247716,0.000247716
174,12546,1.20075,0.82043,1.08996,0.8574,0.81112,0.87355,0.54377,1.26918,0.73157,1.12641,0.000239465,0.000239465,0.000239465
175,12596.9,1.22763,0.82983,1.09734,0.85058,0.81211,0.87159,0.54149,1.28258,0.73727,1.13585,0.000231213,0.000231213,0.000231213
176,12650.5,1.22833,0.83392,1.09593,0.85045,0.81436,0.87292,0.53708,1.29077,0.73533,1.13764,0.000222961,0.000222961,0.000222961
177,12701.2,1.21555,0.8322,1.09536,0.84641,0.80681,0.87186,0.5371,1.29564,0.73581,1.14041,0.00021471,0.00021471,0.00021471
